time,model,execution_time,memory_usage
2025-03-23 21:50:09.222817,all-mpnet-base-v2,12.1420316696167,731.40625
2025-03-23 21:50:25.646162,nomic-ai/nomic-embed-text-v1,16.324913263320923,846.71875
2025-03-23 21:55:22.404644,all-MiniLM-L6-v2,1.9030120372772217,29.640625
2025-03-23 21:55:27.551945,all-mpnet-base-v2,5.118789196014404,75.171875
2025-03-23 21:55:52.570463,nomic-ai/nomic-embed-text-v1,24.9931640625,763.328125
2025-03-23 22:01:56.558302,all-MiniLM-L6-v2,6.304099082946777,106.34375
2025-03-23 22:02:07.912453,all-mpnet-base-v2,11.321585893630981,341.296875
2025-03-23 22:02:22.806927,nomic-ai/nomic-embed-text-v1,14.865081071853638,1284.671875
2025-03-23 22:08:08.945974,all-MiniLM-L6-v2,13.253031015396118,456.640625
2025-03-23 22:08:15.295732,all-mpnet-base-v2,6.331714868545532,322.296875
2025-03-23 22:08:30.481295,nomic-ai/nomic-embed-text-v1,15.157660722732544,335.1875
2025-03-23 22:13:37.499529,all-MiniLM-L6-v2,5.128258943557739,54.953125
2025-03-23 22:13:45.184244,all-mpnet-base-v2,7.651486873626709,65.671875
2025-03-23 22:14:10.659914,nomic-ai/nomic-embed-text-v1,25.46208620071411,817.703125
2025-03-23 22:21:47.442400,all-MiniLM-L6-v2,5.310574293136597,27.734375
2025-03-23 22:21:57.673282,all-mpnet-base-v2,10.198614120483398,83.59375
2025-03-23 22:22:15.158337,nomic-ai/nomic-embed-text-v1,17.46143889427185,539.515625
